ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
BEMT,34.0005,-115.9982,1373.6629999999998,0.03824002485487324,1.9415630926408065,1.97980311749568,2019-08-17
BEPK,35.8784,-118.0741,2471.124,0.016833257804496637,1.7113536964769709,1.7281869542814676,2019-08-17
BERR,39.6022,-120.4475,1930.891,0.06260901302530683,1.8217560766756853,1.8843650897009925,2019-08-17
BFLD,35.4131,-119.0453,108.375,0.051726422044143065,2.2294037502181614,2.2811301722623045,2019-08-17
BFLO,40.7288,-119.82870000000004,1363.6529999999998,0.11224153726015786,1.9382932335696172,2.0505347708297754,2019-08-17
BFLT,38.8539,-119.6759,1597.102,0.06839415465890486,1.8868323974153287,1.9552265520742336,2019-08-17
BFSH,35.5911,-118.498,791.683,0.03612576321713072,2.066967124447028,2.1030928876641584,2019-08-17
BGIS,33.9671,-118.1597,2.833,0.05361842204620905,2.263881044575512,2.3174994666217206,2019-08-17
BHIL,39.3786,-120.118,1988.866,0.05663024177910634,1.8084127036703812,1.865042945449488,2019-08-17
BIGP,37.1678,-118.3383,1554.842,0.05544520614631987,1.8869718393267805,1.9424170454731,2019-08-17
BIGS,39.286,-116.8249,1877.829,0.08738747149836014,1.827647718863035,1.9150351903613951,2019-08-17
BILL,33.5782,-117.06460000000004,470.064,0.041188993731352826,2.1501826722435298,2.1913716659748825,2019-08-17
BIRD,35.9576,-115.4291,1523.1689999999999,0.03020649520367408,1.9059467897194864,1.9361532849231604,2019-08-17
BKAP,35.287,-116.0804,252.03,0.05803219130927205,2.1879438163458844,2.2459760076551563,2019-08-17
BKMS,33.9623,-118.0947,11.025,0.054185258894009686,2.262063076039188,2.316248334933197,2019-08-17
BKR1,35.1324,-119.10950000000004,56.875,0.0555495363694849,2.2401851061994096,2.2957346425688945,2019-08-17
BKR2,35.1326,-119.10929999999996,56.787,0.055549705842924936,2.2402066149550173,2.2957563207979423,2019-08-17
BLAC,39.7965,-119.29470000000003,1282.67,0.08630904474403185,1.9550573182872664,2.0413663630312984,2019-08-17
BLIN,37.758,-118.50400000000002,1856.838,0.048890193656109374,1.8290600627691225,1.877950256425232,2019-08-17
BLRK,40.7697,-119.0933,1237.333,0.1074045782879164,1.966002612325576,2.0734071906134925,2019-08-17
BLSA,33.7995,-118.02869999999996,-23.155,0.043598147817207236,2.269329676759659,2.3129278245768656,2019-08-17
BLUM,40.9492,-118.0475,1364.662,0.0915672541755468,1.9403491522371017,2.0319164064126483,2019-08-17
