ID,Date,ZTD,wet_delay,hydrostatic_delay,times,sigZTD,Lat,Lon,Hgt_m
P248,2020-01-03,2.2948000000000004,0.0327999999999999,2.262,0,0.0021,37.9756,-121.8687,229.816
P249,2020-01-03,2.039,0.0181,2.0209,0,0.0021,36.6116,-121.06439999999998,1155.715
P250,2020-01-03,2.1963000000000004,0.0296,2.1667000000000005,0,0.0023,36.95,-121.26840000000004,584.661
P251,2020-01-03,2.3372,0.0516,2.2856,0,0.0021,36.8114,-121.34789999999998,128.211
P252,2020-01-03,2.3668,0.0526,2.3142000000000005,0,0.0026,37.1696,-121.0577,40.154
P253,2020-01-03,2.0622,0.0159,2.0463,0,0.0025,37.4784,-121.65300000000002,1065.036
P254,2020-01-03,2.0637,0.019,2.0447,0,0.0022,37.4896,-121.4692,1076.179
P255,2020-01-03,2.342,0.036,2.306,0,0.0024,37.5819,-121.3249,73.512
P256,2020-01-03,2.3749,0.0405,2.3344,0,0.0021,37.932,-121.6048,-30.683
P257,2020-01-03,2.3728,0.0399,2.3329,0,0.0021,37.7553,-121.464,-24.698
P258,2020-01-03,2.2491,0.0289,2.2202,0,0.0022,37.3854,-121.2833,390.791
P259,2020-01-03,2.3678000000000003,0.0424,2.3254,0,0.0022,37.433,-121.1006,3.884
P261,2020-01-03,2.3314000000000004,0.0424,2.289,0,0.0022,38.153,-122.21749999999996,118.175
P262,2020-01-03,2.369,0.0443,2.3247,0,0.0026,38.0251,-122.09609999999998,-8.589
P263,2020-01-03,2.207,0.0348,2.1722,0,0.0026,38.5777,-122.42920000000004,554.394
P264,2020-01-03,2.2956,0.0363,2.2593,0,0.0025,38.4442,-122.19529999999996,231.059
P265,2020-01-03,2.3597,0.0382,2.3215,0,0.0025,38.5302,-121.9542,8.082
P266,2020-01-03,2.3593,0.0407999999999999,2.3185,0,0.0026,38.184,-121.8435,22.449
P267,2020-01-03,2.364,0.0346,2.3294,0,0.0022,38.3803,-121.82320000000004,-17.459
P268,2020-01-03,2.368,0.036,2.332,0,0.002,38.4735,-121.64639999999996,-23.906
P269,2020-01-03,2.2833,0.0428,2.2405,0,0.0027,38.9995,-122.3546,298.215
P270,2020-01-03,2.3719,0.0458999999999999,2.326,0,0.0022,39.2438,-122.0552,-12.299
P271,2020-01-03,2.3678000000000003,0.0378999999999999,2.3299000000000003,0,0.0021,38.6574,-121.7145,-18.18
P272,2020-01-03,2.3702,0.0437,2.3265,0,0.0023,39.1455,-121.94309999999996,-12.049
P273,2020-01-03,2.3727,0.0384,2.3343,0,0.0023,38.1158,-121.3881,-26.358
P274,2020-01-03,2.3648,0.0306,2.3342000000000005,0,0.0022,38.2831,-121.46050000000002,-27.772
P275,2020-01-03,2.374,0.0457,2.3283,0,0.0023,38.3215,-121.21460000000002,-5.221
P276,2020-01-03,2.3159,0.0462,2.2697000000000003,0,0.0021,38.6453,-121.09519999999998,207.285
P277,2020-01-03,2.3265,0.0423,2.2842,0,0.0022,37.1924,-122.3669,115.293
P278,2020-01-03,2.2359,0.0484,2.1875,0,0.0021,35.7113,-121.06079999999996,465.881
P279,2020-01-03,2.2318,0.0454,2.1864000000000003,0,0.0022,35.7906,-121.062,469.916
P280,2020-01-03,2.2436,0.0581,2.1855,0,0.0023,35.5441,-120.3476,476.429
P281,2020-01-03,2.2656,0.0557,2.2099,0,0.0023,35.8411,-120.3895,383.847
P282,2020-01-03,2.255,0.0479,2.2071,0,0.0024,35.8378,-120.34519999999998,394.688
P283,2020-01-03,2.2478,0.051,2.1968,0,0.0027,35.8067,-120.2853,434.187
P284,2020-01-03,2.2165,0.0409,2.1756,0,0.0023,35.9333,-120.90679999999998,512.233
P285,2020-01-03,2.1349,0.0288,2.1061,0,0.0021,36.4172,-120.98149999999998,805.73
P286,2020-01-03,2.2161,0.04,2.1761,0,0.0023,36.5159,-120.85310000000004,538.829
P287,2020-01-03,2.1942,0.0429,2.1513,0,0.0022,36.0248,-120.69780000000004,609.749
P288,2020-01-03,2.2482,0.0405,2.2077,0,0.0023,36.1402,-120.8789,397.699
P289,2020-01-03,2.2067,0.0364,2.1703,0,0.0021,36.1068,-120.74879999999996,540.65
P290,2020-01-03,2.0854,0.0272,2.0582000000000003,0,0.0021,36.1789,-120.7283,987.747
P291,2020-01-03,2.185,0.0472999999999999,2.1377,0,0.0023,35.9228,-120.64480000000005,661.355
P292,2020-01-03,2.0848000000000004,0.0365,2.0483,0,0.0029,36.0075,-120.4753,1018.612
P293,2020-01-03,2.2226,0.0516,2.1710000000000003,0,0.0022,36.0894,-120.543,538.84
P294,2020-01-03,2.2325,0.053,2.1795,0,0.0023,36.1232,-120.43989999999997,509.4
P295,2020-01-03,2.2032,0.0458999999999999,2.1573,0,0.0021,35.6971,-120.8424,583.504
P296,2020-01-03,2.3024,0.06,2.2424,0,0.0022,36.0517,-120.36360000000002,265.31
P297,2020-01-03,2.1974,0.0514,2.146,0,0.0024,35.9741,-120.5519,629.301
P298,2020-01-03,2.2852,0.0587,2.2265,0,0.0023,36.0158,-120.29409999999996,323.218
P299,2020-01-03,2.1322,0.0282,2.104,0,0.0023,36.2568,-120.7102,809.371
P300,2020-01-03,2.3417,0.0602,2.2815,0,0.0023,36.3044,-120.277,137.299
P301,2020-01-03,2.3539000000000003,0.0547,2.2992000000000004,0,0.0024,36.8063,-120.74310000000004,89.234
P302,2020-01-03,2.3468000000000004,0.0579,2.2889,0,0.0022,36.6347,-120.6186,122.677
P303,2020-01-03,2.3854,0.0591,2.3263000000000003,0,0.0023,37.0544,-120.70529999999997,-1.751
P304,2020-01-03,2.3836,0.0638,2.3198,0,0.0022,36.739,-120.35659999999996,17.231
P305,2020-01-03,2.3747,0.0729,2.3018,0,0.0024,37.3522,-120.1968,96.063
P306,2020-01-03,2.3678000000000003,0.0628,2.305,0,0.0025,37.7952,-120.6445,82.521
P307,2020-01-03,2.3841,0.0703,2.3138,0,0.0025,36.9473,-120.05790000000002,49.507
P308,2020-01-03,1.9743,0.0351,1.9392,0,0.0024,37.9012,-119.84019999999998,1501.863
P309,2020-01-03,2.3636,0.0475,2.3161,0,0.0022,38.09,-120.95119999999996,41.424
P310,2020-01-03,1.9039,0.032,1.8719,0,0.0028,38.7356,-120.33429999999998,1791.328
P311,2020-01-03,1.4931,0.0203,1.4728,0,0.0022,37.1776,-118.51980000000005,3698.635
P333,2020-01-03,1.8377,0.0154,1.8223,0,0.0023,39.6214,-122.9758,2008.829
P334,2020-01-03,1.8552,0.0172,1.838,0,0.0019,39.4936,-122.73590000000002,1936.225
P335,2020-01-03,1.7867000000000002,0.0137,1.773,0,0.002,39.7262,-122.8736,2229.504
P337,2020-01-03,2.0402,0.0266,2.0136000000000003,0,0.0018,40.2962,-122.86879999999996,1193.312
P338,2020-01-03,2.186,0.0411,2.1449000000000003,0,0.0024,40.7476,-122.923,672.228
P339,2020-01-03,2.0942,0.0294,2.0648,0,0.0021,40.0341,-122.6682,979.562
P344,2020-01-03,2.3605,0.0529,2.3076,0,0.0021,39.9291,-122.02800000000002,49.78
P345,2020-01-03,2.336,0.0519,2.2841,0,0.0024,40.2712,-122.2708,134.094
P346,2020-01-03,1.837,0.0216,1.8154,0,0.0024,39.7947,-120.8675,2037.333
P347,2020-01-03,2.0397000000000003,0.0471,1.9926,0,0.0023,41.1833,-120.94849999999995,1268.823
P348,2020-01-03,1.9266,0.0275,1.8991,0,0.0022,40.9055,-121.82799999999996,1668.079
P349,2020-01-03,2.3018,0.0557,2.2461,0,0.0025,40.7311,-122.31939999999996,275.41
P350,2020-01-03,1.7644000000000002,0.0401,1.7243000000000002,0,0.0023,43.5328,-114.8628,2388.347
P351,2020-01-03,1.6959000000000002,0.0384,1.6575,0,0.002,43.8744,-114.7192,2692.598
P352,2020-01-03,1.7397,0.0361,1.7036000000000002,0,0.0022,43.8491,-114.09609999999998,2474.656
