ID,year,path,Lat,Lon,Hgt_m
CAHV,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAHV/CAHV.2016.trop.zip,32.7702,-115.2733,-21.875
CAIB,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAIB/CAIB.2016.trop.zip,32.5748,-117.1266,-25.421
CAIS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAIS/CAIS.2016.trop.zip,35.6027,-118.4873,726.7360000000001
CAKC,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAKC/CAKC.2016.trop.zip,36.008,-119.9674,57.103
CAL5,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAL5/CAL5.2016.trop.zip,34.1083,-118.2418,86.63799999999999
CAL8,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAL8/CAL8.2016.trop.zip,34.8061,-118.8716,1369.455
CALB,2016,http://geodesy.unr.edu/gps_timeseries/trop/CALB/CALB.2016.trop.zip,37.0983,-120.70169999999996,3.168
CALK,2016,http://geodesy.unr.edu/gps_timeseries/trop/CALK/CALK.2016.trop.zip,33.6355,-117.71429999999998,76.64699999999999
CALS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CALS/CALS.2016.trop.zip,34.6488,-118.14710000000002,738.648
CAMB,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAMB/CAMB.2016.trop.zip,38.7922,-119.0731,1519.118
CAMD,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAMD/CAMD.2016.trop.zip,36.9755,-120.0792,54.58
CAMT,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAMT/CAMT.2016.trop.zip,36.5796,-121.8202,51.481
CAND,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAND/CAND.2016.trop.zip,35.9394,-120.4337,568.378
CAOD,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAOD/CAOD.2016.trop.zip,37.7694,-120.83780000000002,20.956999999999997
CAOS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAOS/CAOS.2016.trop.zip,33.1978,-117.37810000000002,-3.373
CAOV,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAOV/CAOV.2016.trop.zip,39.4963,-121.6098,38.134
CAP1,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAP1/CAP1.2016.trop.zip,37.7142,-122.2221,-20.848000000000003
CAP4,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAP4/CAP4.2016.trop.zip,37.4303,-121.06780000000003,-4.593999999999999
CAPE,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAPE/CAPE.2016.trop.zip,33.7466,-118.2801,-13.992
CAPL,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAPL/CAPL.2016.trop.zip,37.6956,-121.90160000000004,78.726
CARA,2016,http://geodesy.unr.edu/gps_timeseries/trop/CARA/CARA.2016.trop.zip,33.0427,-116.86670000000004,413.834
CARH,2016,http://geodesy.unr.edu/gps_timeseries/trop/CARH/CARH.2016.trop.zip,35.8884,-120.43079999999998,480.25199999999995
CARK,2016,http://geodesy.unr.edu/gps_timeseries/trop/CARK/CARK.2016.trop.zip,38.7904,-121.31259999999996,18.317
CARS,2016,http://geodesy.unr.edu/gps_timeseries/trop/CARS/CARS.2016.trop.zip,39.1449,-119.7994,1750.247
CAS4,2016,http://geodesy.unr.edu/gps_timeseries/trop/CAS4/CAS4.2016.trop.zip,33.7595,-117.913,-1.248
CASD,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASD/CASD.2016.trop.zip,32.8143,-117.12239999999996,104.745
CASE,2016,http://geodesy.unr.edu/gps_timeseries/trop/CASE/CASE.2016.trop.zip,33.4554,-117.404,776.4839999999999
